Unnamed: 0,pChEMBL Value,Canonical,Predict_ann,Proba_ann,Predict_ml,Proba_ml,Predict_GNN,Proba_gnn,Proba_3_model,Predict_3_model,AD
1736,,CC1CN(C(=O)OC(C)(C)C)CCN1C(=O)Nc1ccc(Cl)cc1,1,84.72,1,82.59437,1,68.201996,78.50545206705729,3,In
1741,,COc1ccc([C@H]2CNC(=O)C2)cc1OC1CCCC1,0,5.57,0,37.67743,1,64.50767,35.91836558024088,1,In
1747,,CC(C)=CCc1cc([C@H]2Oc3cc(O)ccc3C[C@H]2O)ccc1O,1,82.22,0,25.080109,0,11.1710005,39.49037002563477,1,In
1754,5.57,CC(C)=CCC12OC(C)(C)[C@@H]3C[C@@H](C=C4C(=O)c5c(O)cc(O)cc5O[C@]431)C2=O,0,5.17,0,23.010935,0,15.860334,14.680423075358071,0,In
1774,,NC(=S)N1N=C(c2ccc(F)cc2)CC1c1cccc2ccccc12,0,2.1,1,96.14361,0,40.835667,46.35975952148437,1,In
1804,,COc1cc2c(cc1OC)C(=O)/C(=C/c1cc(-c3ccc4c(c3)OCO4)n[nH]1)C2,0,4.51,1,60.87228,0,6.3613334,23.914537353515627,1,In
1810,,CCOc1cc([C@H]2SCC(=O)N2NC(=O)c2nccnc2N)ccc1O,0,0.67,0,1.6116947,0,4.796334,2.359342867533366,0,In
1811,,N#Cc1ccc(NC(=O)c2sc3nc4c(cc3c2N)C(=O)CCC4)cc1,0,8.12,1,66.29152,0,6.442,26.951173502604167,1,In
1857,,O=C1NN(Cc2ccccc2)C(=O)N2CCC[C@@H]12,0,11.42,1,85.92786,1,56.546333,51.298060709635415,2,In
1859,,COc1cc2c(cc1OC)C1Cc3cc(OC)c(OC)cc3C(C2)N1C,0,32.21,1,96.01456,0,38.48567,55.57007629394531,1,In
1860,,CCN(CC)Cc1nc2sc3c(c2c(=O)n1-c1ccccc1)CCCC3,1,80.2,1,86.31186,0,15.435667,60.649176025390624,2,In
1865,,C=C1c2ccccc2N(S(=O)(=O)c2ccc(C)cc2)C12CCCCC2,0,2.84,1,61.095524,0,47.48133,37.13895284016928,1,In
1867,,CC(=O)O[C@@H]1C[C@@H](C)[C@](O)(CCC2=CC(=O)OC2)[C@@]2(C)CCCC(C)(C)[C@H]12,0,0.96,0,41.476925,0,29.216997,23.88464131673177,0,Out
